do_now	title	folder	capture	mural_link	files
0.1	Environment Healthcheck	dn-0.1-environment-healthcheck	5 minutes | Capture: Chat | Mural: https://app.mural.co/t/day10626/m/day10626/1790240780402/ea3b0b9154d58175acaa271842c2a9ec6e8081cc | Solution: sample/solution	https://app.mural.co/t/day10626/m/day10626/1790240780402/ea3b0b9154d58175acaa271842c2a9ec6e8081cc	README.md, links.md, board-items.tsv, solution.md
0.2	Your First Prompt (Baseline Card)	dn-0.2-your-first-prompt-baseline-card	5 minutes | Capture: Private | Mural: https://app.mural.co/t/day10626/m/day10626/1790240781052/ff7828405c7e56531c023551b2955e9f1b9c2ed8 | Solution: sample/solution	https://app.mural.co/t/day10626/m/day10626/1790240781052/ff7828405c7e56531c023551b2955e9f1b9c2ed8	README.md, links.md, board-items.tsv, solution.md
0.3	Which Account, Which Data?	dn-0.3-which-account-which-data	5 minutes | Capture: Mural | Mural: https://app.mural.co/t/day10626/m/day10626/1790240782056/83a9dcaf7bb6dc5b0703bd3a89d7b839377598c0 | Solution: sample/solution	https://app.mural.co/t/day10626/m/day10626/1790240782056/83a9dcaf7bb6dc5b0703bd3a89d7b839377598c0	README.md, links.md, board-items.tsv, solution.md
1.A	Classic ML or GenAI?	dn-1.A-classic-ml-or-genai	5 minutes | Capture: Mural | Mural: https://app.mural.co/t/day10626/m/day10626/1790240783064/24453072664cc74ad063b2f25e6e9ce40f6c59f0 | Solution: sample/solution	https://app.mural.co/t/day10626/m/day10626/1790240783064/24453072664cc74ad063b2f25e6e9ce40f6c59f0	README.md, links.md, board-items.tsv, solution.md
1.B	Explain It to a CIO, Then to a Citizen	dn-1.B-explain-it-to-a-cio-then-to-a-citizen	5 minutes | Capture: Chat | Mural: https://app.mural.co/t/day10626/m/day10626/1790240784145/1d6c3055140c3f3d85f9ef06e435ebefc23eba24 | Solution: sample/solution	https://app.mural.co/t/day10626/m/day10626/1790240784145/1d6c3055140c3f3d85f9ef06e435ebefc23eba24	README.md, links.md, board-items.tsv, solution.md
1.C	Prompt It or Train It?	dn-1.C-prompt-it-or-train-it	5 minutes | Capture: Mural | Mural: https://app.mural.co/t/day10626/m/day10626/1790240785053/4d2306d3f1c8e18b1a64d00a9ab6ef15a7eaa29c | Solution: sample/solution	https://app.mural.co/t/day10626/m/day10626/1790240785053/4d2306d3f1c8e18b1a64d00a9ab6ef15a7eaa29c	README.md, links.md, board-items.tsv, solution.md
1.D	Try the Google NLP API	dn-1.D-try-the-google-nlp-api	5 minutes | Capture: Chat | Mural: https://app.mural.co/t/day10626/m/day10626/1790240786066/9b138b3dc8eb259be5ecf9efb2745bf9ae88df5c | Solution: sample/solution	https://app.mural.co/t/day10626/m/day10626/1790240786066/9b138b3dc8eb259be5ecf9efb2745bf9ae88df5c	README.md, links.md, board-items.tsv, solution.md
2.A	Source That Claim	dn-2.A-source-that-claim	5 minutes | Capture: Chat | Mural: https://app.mural.co/t/day10626/m/day10626/1790240787058/1e2eb3d7511a7d2c3f4db9c841ea405098d1c83c | Solution: sample/solution	https://app.mural.co/t/day10626/m/day10626/1790240787058/1e2eb3d7511a7d2c3f4db9c841ea405098d1c83c	README.md, links.md, board-items.tsv, solution.md
2.B	Which Pattern Is This?	dn-2.B-which-pattern-is-this	5 minutes | Capture: Mural | Mural: https://app.mural.co/t/day10626/m/day10626/1790240788055/1f6f0adf26c5e93e2cc2498c4a523fdf13e070c5 | Solution: sample/solution	https://app.mural.co/t/day10626/m/day10626/1790240788055/1f6f0adf26c5e93e2cc2498c4a523fdf13e070c5	README.md, links.md, board-items.tsv, solution.md
2.C	Ask for Datasets, Then Verify	dn-2.C-ask-for-datasets-then-verify	5 minutes | Capture: Chat | Mural: https://app.mural.co/t/day10626/m/day10626/1790240789049/0ff478b72a7508905c90a132dde3e48c04d101d6 | Solution: sample/solution	https://app.mural.co/t/day10626/m/day10626/1790240789049/0ff478b72a7508905c90a132dde3e48c04d101d6	README.md, links.md, board-items.tsv, solution.md
