agency,agency_name,id,use_case_name,agency_bureau,contact_email,is_withheld,development_stage,is_high_impact,HI_justification,topic_area,classification,problem_solved,benefits,system_outputs,operational_date,contracting_usage,vendor_name,have_ato,system_name_ato,data_description,link_to_data,has_pii,pia_url,demographic_features,has_custom_code,code_url,hi_testing_conducted,hi_assessment_completed,hi_potential_impacts,hi_independent_review,hi_ongoing_monitoring,hi_training_established,hi_failsafe_presence,hi_appeal_process,hi_public_consultation
CFTC,Commodity Futures Trading Commission,CFTC-003,Stress Testing Scenarios with Deep Learning,DCR,,,Pre-deployment,,,,,Pilot project to explore neural-network based machine learning methods for creating stress testing scenarios and estimating PnL (profit and loss) on FO (Futures and Options) portfolios based on the current/recent market states/conditions.,,,,,,,,,,,,[],,,,,,,,,,,[]
CFTC,Commodity Futures Trading Commission,CFTC-001,Anomaly Detection for Data Quality,DOD,,,Deployed,,,,,Anomaly detection model designed to identify potentially erroneous data loads in TCR data. Uses an isolation forest model with aggregated data and automatically runs daily.,,,,,,,,,,,,[],,,,,,,,,,,[]
CFTC,Commodity Futures Trading Commission,CFTC-004,MPD Entity Risk Modeling,MPD,,,Pilot,,,,,Entity-level risk modeling project. Use statistical and probabalistic models to predict firms experiencing changes in capital levels. Very early stage R&D effort.,,,,,,,,,,,,[],,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-2705,Smartphone Information Forensics Triage,CBP,ai@hq.dhs.gov,,Pre-deployment,High-impact,,Law Enforcement,NLP,"Quickly translate and summarize the content of text messages, prompting the inspecting employee to review the actual raw text if warranted.",Save worker time by providing an alternative to lengthy bitwise forensic device inspections through the application of an expedient triage tool; reduce the number of higher-level inspections.,"Translations and summary are shown only on the display/monitor, and are not saved or transmitted.",,,,,,,,,,[],,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-313,Advanced Analytics for X-ray Images (AAXI),CBP,ai@hq.dhs.gov,,Pre-deployment,High-impact,,Law Enforcement,Computer Vision,Reduction of low risk empty commercial vehicles.,"AAXI aims to address the problem of anomaly detection in empty commercial vehicles entering the United States at land border ports of entry. The AI models achieve this goal by encoding past X-Ray images of vehicular border crossings in a semantically meaningful way and comparing the current crossing to detect differences amongst the images to identify anomalies. Benefits include enhancement of the capability of humans to consistently detect items of interest/concern present (and possibly concealed) in vehicles crossing into the United States, and increased clearance rate at border crossings so that vehicles operating safely and lawfully may pass through the border faster.",AAXI compares current crossing images to previous crossings of the same tractor/trailer which have been adjudicated by a CBP Officer and determines recommends further review if warranted.,,,,,,,,,,[],,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-314,Advance RPM Maintenance Operating Reporter (ARMOR),CBP,ai@hq.dhs.gov,,Pre-deployment,High-impact,,Admin Functions,Classical ML,"Advance Radiation Portal Monitor (RPM) Maintenance Operating Reporter (ARMOR) project provides predictive maintenance of RPMs, detecting issues with the equipment before the issue causes the screening lane to be inoperable","ARMOR will shorten time to service/repair/maintenance of radiation portal monitors by two weeks. ARMOR will allow better distribution of resources (travel, spare parts, etc.) and expected cost decrease could be 25-50%. Through decreased outage time, and prediction of equipment degradation, ARMOR will increase radiological/nuclear (R/N) security on US borders.",The system will provide a listing of malfunctioning RPMs categorized by issue severity and predicted date of failure. The outputs will be used to create service tickets.,,,,,,,,,,[],,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-194,AI Enabled Autonomous Underwater Vehicle,CBP,ai@hq.dhs.gov,,Pre-deployment,"Presumed High-Impact, but Not High-impact","Computer Vision application onboard the ROV detects items of interest (IoI).  The ROV also uses AI for collision avoidance. Once an IOI is detected, a bounding box is placed around the suspected IoI in the image and the user is notified of an alert of a potential IOI.  The user then reviews the image and decides if a dive team is required for further inspection. The AI output does not serve as a principal basis for any decisions or actions.",Law Enforcement,Computer Vision,"Customs and Border Protection (CBP) desires to identify potential Items of Interest (IoI) on vessels more quickly, efficiently, and safely.  Provides increased shared situational awareness in real time for CBP and strategic partners, and improves mission planning and agent and officer safety while reducing reactionary gaps.","Customs and Border Protection (CBP) intends to identify potential for Items of Interest (IoI) on vessels through the use of autonomous systems, which will allow CBP to more efficiently and safely increase shared situational awareness, improve mission planning and agent/officer safety, and reduce reactionary gaps.","AI output will include object avoidance, automated mission execution, and may include imagery of potential Items of Interest (IoI).",,,,,,,,,,[],,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-234,Relocatable Multi-Sensor System,CBP,ai@hq.dhs.gov,,Pre-deployment,"Presumed High-Impact, but Not High-impact","Sensors and CUAS capabilities to support significant events. The AI combines sensor data from RF detections / radar/ and infrared / electro optical cameras.  It combines all feeds and provides detections on the user interface back to users. Fully standalone and airgapped system. Looking to identify non-RF drones. System does not have any mitigation capability, system cannot autonomously mitigate an aircraft, it only detects and provides a digital track on the GUI/map for further user investigation. This use of AI does not serve as a principal basis for decision or action.",Law Enforcement,Classical ML,"Border security, detection of Small Unmanned Aircraft Systems (SUAS), and multi-sensor fusion.","The system uses advanced sensor technology to differentiate valid items of interest (IOI), such as unmanned aircraft systems and humans, from other detections such as animals or other environmental objects. By integrating radar and other sensor data, the system filters out false alarms, ensuring more accurate identification of potential IOI. This capability enhances CBP's ability to focus on legitimate risks while minimizing the time spent on non-threatening activities, improving operational efficiency at border and security checkpoints.","The outputs  include real-time data identifying and categorizing potential items of interests, while filtering out false or non-relevant items of interest like animals. These outputs are used to provide situational awareness and support decision-making for CBP personnel.",,,,,,,,,,[],,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-2363,Anomaly Detection COV Structure,CBP,ai@hq.dhs.gov,,Pre-deployment,"Presumed High-Impact, but Not High-impact","Computer Vision is intended to detect anomalies in non-intrusive inspection images. The images are then shared with officers who review the detections within the images (represented as a polygon). If the officer feels physical review is required, the vehicle is moved to secondary inspection for more thorough review by an officer. The output of the AI does not serve as a principal basis for a decision or action.",Law Enforcement,Computer Vision,"The Anomaly Detection Algorithm (ADA) models are intended to solve several key problems for U.S. Customs and Border Protection (CBP) related to the screening of passenger and cargo vehicles. Improving the detection of anomalies and contraband, enhancing efficiency in image review, enhance human capability to consistently detect items of interest or concern, addressing high traffic volumes and resource constraints, and supporting the analysis of complex inspections.","CBP is seeking Anomaly Detection Algorithm (ADA) models capable of operating on CBP systems to enable rapid screening of commercially owned vehicles (CoVs). The objective is to develop a suite of algorithms that enhance CBP's Non-Intrusive Inspection (NII) image analysis, improving the detection of anomalies and contraband. These algorithms are intended to assist CBP officers in efficiently reviewing images, with a particular focus on identifying concealed contraband and anomalies in passenger vehicles and cargo conveyances. The implementation of ADA models will enhance human capability to consistently detect items of interest or concern, including concealed objects, in vehicles entering the United States. Additionally, these algorithms will enhance throughput efficiency at ports of entry, enabling the expedited processing of compliant vehicles while maintaining robust security standards.",Bounding boxes around an anomaly or unidentifiable object(s) within an image or any portion of the image that cannot be identified or explained.,,,,,,,,,,[],,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-2365,Anomaly Detection POV Structure,CBP,ai@hq.dhs.gov,,Pre-deployment,"Presumed High-Impact, but Not High-impact","Computer Vision is intended to detect anomalies in non-intrusive inspection images. The images are then shared with officers who review the detections within the images (represented as a polygon). If the officer feels physical review is required, the vehicle is moved to secondary inspection for more thorough review by an officer. The output of the AI does not serve as a principal basis for a decision or action.",Law Enforcement,Computer Vision,"The Anomaly Detection Algorithm (ADA) models are intended to solve several key problems for U.S. Customs and Border Protection (CBP) related to the screening of privately owned vehicles (PoVs). Improving the detection of anomalies and contraband, enhancing efficiency in image review, enhance human capability to consistently detect items of interest or concern, addressing high traffic volumes and resource constraints, and supporting the analysis of complex inspections.","CBP is seeking Anomaly Detection Algorithm (ADA) models capable of operating on CBP systems to enable rapid screening of passenger and cargo vehicles. The objective is to develop a suite of algorithms that enhance CBP's Non-Intrusive Inspection (NII) image analysis, improving the detection of anomalies and contraband. These algorithms are intended to assist CBP officers in efficiently reviewing images, with a particular focus on identifying concealed contraband and anomalies in passenger vehicles and cargo conveyances. The implementation of ADA models will enhance human capability to consistently detect items of interest or concern, including concealed objects, in vehicles entering the United States. Additionally, these algorithms will enhance throughput efficiency at ports of entry, enabling the expedited processing of compliant vehicles while maintaining robust security standards.",Bounding boxes around an anomaly or unidentifiable object(s) within an image or any portion of the image that cannot be identified or explained.,,,,,,,,,,[],,,,,,,,,,,[]
