feedback_id,received,channel,text
F-001,2026-03-02,web form,"There is a haze off Route 9 most mornings and my youngest has started using an inhaler. I was told two months ago someone would look into monitoring and I have heard nothing. Does anyone measure the air where I live?"
F-002,2026-03-02,phone,"My assistance application has been under review for seven weeks and the status line has not changed once. The callback number disconnects after twenty minutes in the queue."
F-003,2026-03-03,email,"The benefits portal is not navigable with a screen reader. The eligibility wizard has unlabelled buttons and the session times out before I can work around it. I cannot apply for a benefit I qualify for."
F-004,2026-03-03,letter,"I would like copies of the grant awards made in this district for the last two fiscal years, including award dates. This is a records request, not urgent, but I have asked twice."
F-005,2026-03-04,web form,"Gas smell in the corridor of the county services building, second floor, near the west stairwell. Staff there said to report it online. It was still there when I left."
F-006,2026-03-04,email,"Your published flu figures are six weeks old and the dashboard link errors out. I run four schools and I am deciding whether to move two events this week."
F-007,2026-03-05,phone,"I was charged a late penalty for a renewal that one of your offices told me was automatic. I have both letters. Please remove the penalty and tell me which office is right."
F-008,2026-03-05,web form,"The parking at the north office has no accessible spaces marked since the resurfacing. I waited forty minutes for someone to move so I could get out of my vehicle."
F-009,2026-03-06,email,"Whoever redesigned the forms deserves credit. I filed in eight minutes on a phone. Sending this because you probably only hear the complaints."
F-010,2026-03-06,letter,"A caseworker discussed my file loudly enough for the waiting room to hear, including my address. I want to know what the policy is and who I raise this with."
F-011,2026-03-07,web form,"Flood water is coming up through the drain in the basement of my building and the emergency line is engaged. Three units down here. Please send someone."
F-012,2026-03-07,phone,"I have been transferred four times trying to find out which form I need. Nobody can tell me. I am not angry, I am just going in circles."
F-013,2026-03-08,email,"The address you have on file for me is wrong and mail is going to a previous tenant. I have corrected it twice through the portal and it reverts."
F-014,2026-03-08,web form,"Requesting the methodology behind the county air quality index figures published last month. I am a graduate student and happy to wait for the normal process."
F-015,2026-03-09,phone,"My benefit stopped with no notice and rent is due Friday. I have two children. I do not know what happened or who to ask."
